CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,NOX_INDUS,RM_LSTAT
0.22927,0.0,6.91,0.448,6.03,85.5,5.6894,3,233,17.9,392.74,18.8,16.6,3.09568,113.364
0.25387,0.0,6.91,0.448,5.399,95.3,5.87,3,233,17.9,396.9,30.81,14.4,3.09568,166.34319
0.21977,0.0,6.91,0.448,5.602,62.0,6.0877,3,233,17.9,396.9,16.2,19.4,3.09568,90.7524
0.08873,21.0,5.64,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45,19.7,2.4759599999999997,80.20235
0.04337,21.0,5.64,0.439,6.115,63.0,6.8147,4,243,16.8,393.97,9.43,20.5,2.4759599999999997,57.66445
0.0536,21.0,5.64,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28,25.0,2.4759599999999997,34.378080000000004
0.04981,21.0,5.64,0.439,5.998,21.4,6.8147,4,243,16.8,396.9,8.43,23.4,2.4759599999999997,50.56314
0.15445,25.0,5.13,0.453,6.145,29.2,7.8148,8,284,19.7,390.68,6.86,23.3,2.32389,42.1547
0.10328,25.0,5.13,0.453,5.927,47.2,6.932,8,284,19.7,396.9,9.22,19.6,2.32389,54.64694
0.14932,25.0,5.13,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15,18.7,2.32389,75.49414999999999
0.17171,25.0,5.13,0.453,5.966,93.4,6.8185,8,284,19.7,378.08,14.44,16.0,2.32389,86.14904
0.11027,25.0,5.13,0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73,22.2,2.32389,43.44888
0.1265,25.0,5.13,0.453,6.287588932806324,43.4,7.9809,8,284,19.7,395.58,9.5,25.0,2.32389,59.73209486166008
0.01951,17.5,1.38,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05,33.0,0.574218,57.187200000000004
0.05789,12.5,6.07,0.409,5.878,21.4,6.498,4,345,18.9,396.21,8.1,22.0,2.48263,47.6118
0.13554,12.5,6.07,0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09,17.4,2.48263,73.22546
0.12816,12.5,6.07,0.409,5.885,33.0,6.498,4,345,18.9,396.9,8.79,20.9,2.48263,51.72914999999999
0.08826,0.0,10.81,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,6.72,24.2,4.46453,43.12224
0.15876,0.0,10.81,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88,21.7,4.46453,58.89468000000001
0.09164,0.0,10.81,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,5.52,22.8,4.46453,33.4788
0.19539,0.0,10.81,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,7.54,23.4,4.46453,47.0873
0.07896,0.0,12.83,0.437,6.273,6.0,4.2515,5,398,18.7,394.92,6.78,24.1,5.60671,42.53094
0.09512,0.0,12.83,0.437,6.286,45.0,4.5026,5,398,18.7,383.23,8.94,21.4,5.60671,56.196839999999995
0.10153,0.0,12.83,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97,20.0,5.60671,75.15963
0.08707,0.0,12.83,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27,20.8,5.60671,63.05779999999999
0.05646,0.0,12.83,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,21.2,5.60671,76.90288
0.08387,0.0,12.83,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,9.1,20.3,5.60671,53.453399999999995
0.04113,25.0,4.86,0.426,6.727,33.5,5.4007,4,281,19.0,396.9,5.29,28.0,2.07036,35.58583
0.04462,25.0,4.86,0.426,6.619,70.4,5.4007,4,281,19.0,395.63,7.22,23.9,2.07036,47.789179999999995
0.03659,25.0,4.86,0.426,6.302,32.2,5.4007,4,281,19.0,396.9,6.72,24.8,2.07036,42.349439999999994
0.03551,25.0,4.86,0.426,6.167,46.7,5.4007,4,281,19.0,390.64,7.51,22.9,2.07036,46.31417
0.05059,0.0,4.49,0.449,6.389,48.0,4.7794,3,247,18.5,396.9,9.62,23.9,2.01601,61.46218
0.05735,0.0,4.49,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53,26.6,2.01601,43.2939
0.05188,0.0,4.49,0.449,6.015,45.1,4.4272,3,247,18.5,395.99,12.86,22.5,2.01601,77.35289999999999
0.07151,0.0,4.49,0.449,6.121,56.8,3.7476,3,247,18.5,395.15,8.44,22.2,2.01601,51.66124
0.0566,0.0,3.41,0.489,7.007,86.3,3.4217,2,270,17.8,396.9,5.5,23.6,1.6674900000000001,38.5385
0.05302,0.0,3.41,0.489,7.079,63.1,3.4145,2,270,17.8,396.06,5.7,28.7,1.6674900000000001,40.3503
0.04684,0.0,3.41,0.489,6.417,66.1,3.0923,2,270,17.8,392.18,8.81,22.6,1.6674900000000001,56.533770000000004
0.03932,0.0,3.41,0.489,6.405,73.9,3.0921,2,270,17.8,393.55,8.2,22.0,1.6674900000000001,52.521
0.04203,28.0,15.04,0.464,6.442,53.6,3.6659,4,270,18.2,395.01,8.16,22.9,6.97856,52.566720000000004
0.02875,28.0,15.04,0.464,6.211,28.9,3.6659,4,270,18.2,396.33,6.21,25.0,6.97856,38.57031
0.04294,28.0,15.04,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59,20.6,6.97856,66.17690999999999
0.12204,0.0,2.89,0.445,6.625,57.8,3.4952,2,276,18.0,357.98,6.65,28.4,1.2860500000000001,44.056250000000006
0.11504,0.0,2.89,0.445,6.287588932806324,69.6,3.4952,2,276,18.0,391.83,11.34,21.4,1.2860500000000001,71.30125849802371
0.0686,0.0,2.89,0.445,7.416,62.5,3.4952,2,276,18.0,396.9,6.19,33.2,1.2860500000000001,45.90504000000001
0.14866,0.0,8.56,0.52,6.727,79.9,2.7778,5,384,20.9,394.76,9.42,27.5,4.4512,63.36834
0.11432,0.0,8.56,0.52,6.781,71.3,2.8561,5,384,20.9,395.58,7.67,26.5,4.4512,52.01027
0.21161,0.0,8.56,0.52,6.137,87.4,2.7147,5,384,20.9,394.47,13.44,19.3,4.4512,82.48128
0.1396,0.0,8.56,0.52,6.167,90.0,2.421,5,384,20.9,392.69,12.33,20.1,4.4512,76.03911
0.13262,0.0,8.56,0.52,5.851,96.7,2.1069,5,384,20.9,394.05,16.47,19.5,4.4512,96.36596999999999
0.1712,0.0,8.56,0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66,19.5,4.4512,108.89976
0.13117,0.0,8.56,0.52,6.127,85.2,2.1224,5,384,20.9,387.69,14.09,20.4,4.4512,86.32943
0.12802,0.0,8.56,0.52,6.474,97.1,2.4329,5,384,20.9,395.24,12.27,19.8,4.4512,79.43598
0.26363,0.0,8.56,0.52,6.229,91.2,2.5451,5,384,20.9,391.23,15.55,19.4,4.4512,96.86095
0.10793,0.0,8.56,0.52,6.195,54.4,2.7778,5,384,20.9,393.49,13.0,21.7,4.4512,80.535
0.10084,0.0,10.01,0.547,6.715,81.6,2.6775,6,432,17.8,395.59,10.16,22.8,5.4754700000000005,68.2244
0.12329,0.0,10.01,0.547,5.913,92.9,2.3534,6,432,17.8,394.95,16.21,18.8,5.4754700000000005,95.84973000000001
0.22212,0.0,10.01,0.547,6.092,95.4,2.548,6,432,17.8,396.9,17.09,18.7,5.4754700000000005,104.11228
0.14231,0.0,10.01,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45,18.5,5.4754700000000005,65.3543
0.17134,0.0,10.01,0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76,18.3,5.4754700000000005,93.42528
0.13158,0.0,10.01,0.547,6.176,72.5,2.7301,6,432,17.8,393.3,12.04,21.2,5.4754700000000005,74.35904
0.15098,0.0,10.01,0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3,19.2,5.4754700000000005,62.0163
0.14476,0.0,10.01,0.547,5.731,65.2,2.7592,6,432,17.8,391.5,13.61,19.3,5.4754700000000005,77.99891
0.06899,0.0,25.65,0.581,5.87,69.7,2.2577,2,188,19.1,389.15,14.37,22.0,14.902649999999998,84.3519
0.07165,0.0,25.65,0.581,6.004,84.1,2.1974,2,188,19.1,377.67,14.27,20.3,14.902649999999998,85.67707999999999
0.09299,0.0,25.65,0.581,5.961,92.9,2.0869,2,188,19.1,378.09,17.93,20.5,14.902649999999998,106.88073
0.15038,0.0,25.65,0.581,5.856,97.0,1.9444,2,188,19.1,370.31,25.41,17.3,14.902649999999998,148.80096
0.09849,0.0,25.65,0.581,5.879,95.8,2.0063,2,188,19.1,379.38,17.58,18.8,14.902649999999998,103.35281999999998
0.16902,0.0,25.65,0.581,5.986,88.4,1.9929,2,188,19.1,385.02,14.81,21.4,14.902649999999998,88.65266
0.38735,0.0,25.65,0.581,5.613,95.6,1.7572,2,188,19.1,359.29,27.26,15.7,14.902649999999998,153.01038000000003
0.25915,0.0,21.89,0.624,5.693,96.0,1.7883,4,437,21.2,392.11,17.19,16.2,13.65936,97.86267
0.32543,0.0,21.89,0.624,6.431,98.8,1.8125,4,437,21.2,396.9,15.39,18.0,13.65936,98.97309
0.88125,0.0,21.89,0.624,5.637,94.7,1.9799,4,437,21.2,396.9,18.34,14.3,13.65936,103.38257999999999
0.34006,0.0,21.89,0.624,6.458,98.9,2.1185,4,437,21.2,395.04,12.6,19.2,13.65936,81.3708
1.19294,0.0,21.89,0.624,6.326,97.7,2.271,4,437,21.2,396.9,12.26,19.6,13.65936,77.55676
0.59005,0.0,21.89,0.624,6.372,97.9,2.3274,4,437,21.2,385.76,11.12,23.0,13.65936,70.85664
0.32982,0.0,21.89,0.624,5.822,95.4,2.4699,4,437,21.2,388.69,15.03,18.4,13.65936,87.50466
0.55778,0.0,21.89,0.624,6.287588932806324,98.2,2.1107,4,437,21.2,394.67,16.96,18.1,13.65936,106.63750830039527
0.32264,0.0,21.89,0.624,5.942,93.5,1.9669,4,437,21.2,378.25,16.9,17.4,13.65936,100.4198
0.35233,0.0,21.89,0.624,6.454,98.4,1.8498,4,437,21.2,394.08,14.59,17.1,13.65936,94.16386
0.2498,0.0,21.89,0.624,5.857,98.2,1.6686,4,437,21.2,392.04,21.32,13.3,13.65936,124.87124
0.54452,0.0,21.89,0.624,6.151,97.9,1.6687,4,437,21.2,396.9,18.46,17.8,13.65936,113.54746
0.2909,0.0,21.89,0.624,6.174,93.6,1.6119,4,437,21.2,388.08,24.16,14.0,13.65936,149.16384000000002
3.32105,0.0,19.58,0.871,5.403,100.0,1.3216,5,403,14.7,396.9,26.82,13.4,17.05418,144.90846
4.0974,0.0,19.58,0.871,5.468,100.0,1.4118,5,403,14.7,396.9,26.42,15.6,17.05418,144.46456
2.77974,0.0,19.58,0.871,4.903,97.8,1.3459,5,403,14.7,396.9,29.29,11.8,17.05418,143.60887
2.36862,0.0,19.58,0.871,4.926,95.7,1.4608,5,403,14.7,391.71,29.53,14.6,17.05418,145.46478000000002
2.33099,0.0,19.58,0.871,5.186,93.8,1.5296,5,403,14.7,356.99,28.32,17.8,17.05418,146.86752
2.73397,0.0,19.58,0.871,5.597,94.9,1.5257,5,403,14.7,351.85,21.45,15.4,17.05418,120.05565
1.6566,0.0,19.58,0.871,6.122,97.3,1.618,5,403,14.7,372.8,14.1,21.5,17.05418,86.3202
1.12658,0.0,19.58,0.871,5.012,88.0,1.6102,5,403,14.7,343.28,12.12,15.3,17.05418,60.74543999999999
1.34284,0.0,19.58,0.605,6.066,100.0,1.7573,5,403,14.7,353.89,6.43,24.3,11.845899999999999,39.00438
1.42502,0.0,19.58,0.871,6.51,100.0,1.7659,5,403,14.7,364.31,7.39,23.3,17.05418,48.1089
2.24236,0.0,19.58,0.605,5.854,91.8,2.422,5,403,14.7,395.11,11.64,22.7,11.845899999999999,68.14056000000001
2.3139,0.0,19.58,0.605,5.88,97.3,2.3887,5,403,14.7,348.13,12.03,19.1,11.845899999999999,70.73639999999999
0.13914,0.0,4.05,0.51,5.572,88.5,2.5961,5,296,16.6,396.9,14.69,23.1,2.0655,81.85267999999999
0.09178,0.0,4.05,0.51,6.416,84.1,2.6463,5,296,16.6,395.5,9.04,23.6,2.0655,58.00064
0.08447,0.0,4.05,0.51,5.859,68.7,2.7019,5,296,16.6,393.23,9.64,22.6,2.0655,56.480760000000004
0.06664,0.0,4.05,0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.33,29.4,2.0655,34.89018
0.07022,0.0,4.05,0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11,23.2,2.0655,60.862199999999994
0.05425,0.0,4.05,0.51,6.315,73.4,3.3175,5,296,16.6,395.6,6.29,24.6,2.0655,39.72135
0.06642,0.0,4.05,0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92,29.9,2.0655,47.4712
0.06888,0.0,2.46,0.488,6.144,62.2,2.5979,3,193,17.8,396.9,9.45,36.2,1.20048,58.06079999999999
0.10008,0.0,2.46,0.488,6.563,95.6,2.847,3,193,17.8,396.9,5.68,32.5,1.20048,37.27784
0.08308,0.0,2.46,0.488,5.604,89.8,2.9879,3,193,17.8,391.0,13.98,26.4,1.20048,78.34392
0.06047,0.0,2.46,0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15,29.6,1.20048,80.91194999999999
0.13642,0.0,10.59,0.489,5.891,22.3,3.9454,4,277,18.6,396.9,10.87,22.6,5.17851,64.03517
0.22969,0.0,10.59,0.489,6.326,52.5,4.3549,4,277,18.6,394.87,10.97,24.4,5.17851,69.39622
0.25199,0.0,10.59,0.489,5.783,72.7,4.3549,4,277,18.6,389.43,18.06,22.5,5.17851,104.44098
0.13587,0.0,10.59,0.489,6.064,59.1,4.2392,4,277,18.6,381.32,14.66,24.4,5.17851,88.89824
0.43571,0.0,10.59,0.489,5.344,100.0,3.875,4,277,18.6,396.9,23.09,20.0,5.17851,123.39296
0.17446,0.0,10.59,0.489,5.96,92.1,3.8771,4,277,18.6,393.25,17.27,21.7,5.17851,102.9292
0.37578,0.0,10.59,0.489,5.404,88.6,3.665,4,277,18.6,395.24,23.98,19.3,5.17851,129.58792
0.21719,0.0,10.59,0.489,5.807,53.8,3.6526,4,277,18.6,390.94,16.03,22.4,5.17851,93.08621000000001
0.14052,0.0,10.59,0.489,6.375,32.3,3.9454,4,277,18.6,385.81,9.38,28.1,5.17851,59.79750000000001
0.28955,0.0,10.59,0.489,5.412,9.8,3.5875,4,277,18.6,348.93,29.55,23.7,5.17851,159.9246
0.19802,0.0,10.59,0.489,6.182,42.4,3.9454,4,277,18.6,393.63,9.47,25.0,5.17851,58.54354000000001
0.0456,0.0,13.89,0.55,5.888,56.0,3.1121,5,276,16.4,392.8,13.51,23.3,7.639500000000001,79.54688
0.07013,0.0,13.89,0.55,6.642,85.1,3.4211,5,276,16.4,392.78,9.69,28.7,7.639500000000001,64.36098
0.11069,0.0,13.89,0.55,5.951,93.8,2.8893,5,276,16.4,396.9,17.92,21.5,7.639500000000001,106.64192
0.11425,0.0,13.89,0.55,6.373,92.4,3.3633,5,276,16.4,393.74,10.5,23.0,7.639500000000001,66.9165
0.35809,0.0,6.2,0.507,6.951,88.5,2.8617,8,307,17.4,391.7,9.71,26.7,3.1434,67.49421
0.40771,0.0,6.2,0.507,6.164,91.3,3.048,8,307,17.4,395.24,21.46,21.7,3.1434,132.27944
0.62356,0.0,6.2,0.507,6.879,77.7,3.2721,8,307,17.4,390.39,9.93,27.5,3.1434,68.30847
0.6147,0.0,6.2,0.507,6.618,80.8,3.2721,8,307,17.4,396.9,7.6,30.1,3.1434,50.2968
0.41238,0.0,6.2,0.504,7.163,79.9,3.2157,8,307,17.4,372.08,6.36,31.6,3.1248,45.55668000000001
0.44178,0.0,6.2,0.504,6.552,21.4,3.3751,8,307,17.4,380.34,3.76,31.5,3.1248,24.635519999999996
0.537,0.0,6.2,0.504,5.981,68.1,3.6715,8,307,17.4,378.35,11.65,24.3,3.1248,69.67865
0.46296,0.0,6.2,0.504,7.412,76.9,3.6715,8,307,17.4,376.14,5.25,31.7,3.1248,38.913
0.44791,0.0,6.2,0.507,6.726,66.5,3.6519,8,307,17.4,360.2,8.05,29.0,3.1434,54.1443
0.33045,0.0,6.2,0.507,6.086,61.5,3.6519,8,307,17.4,376.75,10.88,24.0,3.1434,66.21568
0.52058,0.0,6.2,0.507,6.631,76.5,4.148,8,307,17.4,388.45,9.54,25.1,3.1434,63.259739999999994
0.51183,0.0,6.2,0.507,7.358,71.6,4.148,8,307,17.4,390.07,4.73,31.5,3.1434,34.80334
0.08244,30.0,4.93,0.428,6.481,18.5,6.1899,6,300,16.6,379.41,6.36,23.7,2.1100399999999997,41.21916
0.09252,30.0,4.93,0.428,6.606,42.2,6.1899,6,300,16.6,383.78,7.37,23.3,2.1100399999999997,48.68622
0.11329,30.0,4.93,0.428,6.897,54.3,6.3361,6,300,16.6,391.25,11.38,22.0,2.1100399999999997,78.48786000000001
0.10612,30.0,4.93,0.428,6.095,65.1,6.3361,6,300,16.6,394.62,12.4,20.1,2.1100399999999997,75.578
0.1029,30.0,4.93,0.428,6.358,52.9,7.0355,6,300,16.6,372.75,11.22,22.2,2.1100399999999997,71.33676
0.12757,30.0,4.93,0.428,6.393,7.8,7.0355,6,300,16.6,374.71,5.19,23.7,2.1100399999999997,33.17967
0.20608,22.0,5.86,0.431,5.593,76.5,7.9549,7,330,19.1,372.49,12.5,17.6,2.5256600000000002,69.9125
0.19133,22.0,5.86,0.431,5.605,70.2,7.9549,7,330,19.1,389.13,18.46,18.5,2.5256600000000002,103.46830000000001
0.33983,22.0,5.86,0.431,6.108,34.9,8.0555,7,330,19.1,390.18,9.16,24.3,2.5256600000000002,55.949279999999995
0.19657,22.0,5.86,0.431,6.226,79.2,8.0555,7,330,19.1,376.14,10.15,20.5,2.5256600000000002,63.1939
0.16439,22.0,5.86,0.431,6.433,49.1,7.8265,7,330,19.1,374.71,9.52,24.5,2.5256600000000002,61.24216
0.19073,22.0,5.86,0.431,6.718,17.5,7.8265,7,330,19.1,393.74,6.56,26.2,2.5256600000000002,44.07008
0.1403,22.0,5.86,0.431,6.487,13.0,7.3967,7,330,19.1,396.28,5.9,24.4,2.5256600000000002,38.273300000000006
0.21409,22.0,5.86,0.431,6.438,8.9,7.3967,7,330,19.1,377.07,3.59,24.8,2.5256600000000002,23.112419999999997
0.08221,22.0,5.86,0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53,29.6,2.5256600000000002,24.55821
0.09065,20.0,6.96,0.464,5.92,61.5,3.9175,3,223,18.6,391.34,13.65,20.7,3.2294400000000003,80.808
0.29916,20.0,6.96,0.464,5.856,42.1,4.429,3,223,18.6,388.65,13.0,21.1,3.2294400000000003,76.128
0.16211,20.0,6.96,0.464,6.24,16.3,4.429,3,223,18.6,396.9,6.59,25.2,3.2294400000000003,41.1216
0.1146,20.0,6.96,0.464,6.538,58.7,3.9175,3,223,18.6,394.96,7.73,24.4,3.2294400000000003,50.538740000000004
0.22188,20.0,6.96,0.464,7.691,51.8,4.3665,3,223,18.6,390.77,6.58,35.2,3.2294400000000003,50.60678
0.21038,20.0,3.33,0.4429,6.812,32.2,4.1007,5,216,14.9,396.9,4.85,35.1,1.474857,33.038199999999996
0.03705,20.0,3.33,0.4429,6.968,37.2,5.2447,5,216,14.9,392.23,4.59,35.4,1.474857,31.98312
0.08265,0.0,13.92,0.437,6.127,18.4,5.5027,4,289,16.0,396.9,8.58,23.9,6.08304,52.56966
0.08199,0.0,13.92,0.437,6.009,42.3,5.5027,4,289,16.0,396.9,10.4,21.7,6.08304,62.49360000000001
0.12932,0.0,13.92,0.437,6.678,31.1,5.9604,4,289,16.0,396.9,6.27,28.6,6.08304,41.87106
0.05372,0.0,13.92,0.437,6.549,51.0,5.9604,4,289,16.0,392.85,7.39,27.1,6.08304,48.39711
0.14103,0.0,13.92,0.437,5.79,58.0,6.32,4,289,16.0,396.9,15.84,20.3,6.08304,91.7136
0.49298,0.0,9.9,0.544,6.635,82.5,3.3175,4,304,18.4,396.9,4.54,22.8,5.3856,30.122899999999998
0.3494,0.0,9.9,0.544,5.972,76.7,3.1025,4,304,18.4,396.24,9.97,20.3,5.3856,59.54084000000001
2.63548,0.0,9.9,0.544,4.973,37.8,2.5194,4,304,18.4,350.45,12.64,16.1,5.3856,62.85872
0.79041,0.0,9.9,0.544,6.122,52.8,2.6403,4,304,18.4,396.9,5.98,22.1,5.3856,36.60956
0.26169,0.0,9.9,0.544,6.023,90.4,2.834,4,304,18.4,396.3,11.72,19.4,5.3856,70.58956
0.26938,0.0,9.9,0.544,6.266,82.8,3.2628,4,304,18.4,393.39,7.9,21.6,5.3856,49.501400000000004
0.3692,0.0,9.9,0.544,6.567,87.3,3.6023,4,304,18.4,395.69,9.28,23.8,5.3856,60.941759999999995
0.25356,0.0,9.9,0.544,5.705,77.7,3.945,4,304,18.4,396.42,11.5,16.2,5.3856,65.6075
0.31827,0.0,9.9,0.544,5.914,83.2,3.9986,4,304,18.4,390.7,18.33,17.8,5.3856,108.40361999999999
0.24522,0.0,9.9,0.544,5.782,71.7,4.0317,4,304,18.4,396.9,15.94,19.8,5.3856,92.16508
0.40202,0.0,9.9,0.544,6.382,67.2,3.5325,4,304,18.4,395.21,10.36,23.1,5.3856,66.11752
0.47547,0.0,9.9,0.544,6.113,58.8,4.0019,4,304,18.4,396.23,12.73,21.0,5.3856,77.81849000000001
0.1676,0.0,7.38,0.493,6.426,52.3,4.5404,5,287,19.6,396.9,7.2,23.8,3.63834,46.2672
0.18159,0.0,7.38,0.493,6.376,54.3,4.5404,5,287,19.6,396.9,6.87,23.1,3.63834,43.80312
0.35114,0.0,7.38,0.493,6.041,49.9,4.7211,5,287,19.6,396.9,7.7,20.4,3.63834,46.5157
0.28392,0.0,7.38,0.493,5.708,74.3,4.7211,5,287,19.6,391.13,11.74,18.5,3.63834,67.01192
0.34109,0.0,7.38,0.493,6.415,40.1,4.7211,5,287,19.6,396.9,6.12,25.0,3.63834,39.2598
0.19186,0.0,7.38,0.493,6.431,14.7,5.4159,5,287,19.6,393.68,5.08,24.6,3.63834,32.66948
0.30347,0.0,7.38,0.493,6.312,28.9,5.4159,5,287,19.6,396.9,6.15,23.0,3.63834,38.8188
0.24103,0.0,7.38,0.493,6.083,43.7,5.4159,5,287,19.6,396.9,12.79,22.2,3.63834,77.80157
0.06617,0.0,3.24,0.46,5.868,25.8,5.2146,4,430,16.9,382.44,9.97,19.3,1.4904000000000002,58.503960000000006
0.06724,0.0,3.24,0.46,6.333,17.2,5.2146,4,430,16.9,375.21,7.34,22.6,1.4904000000000002,46.48422
